bug,s3-tool-buggy,s3-tool-developer,AST-tool-buggy,AST-tool-developer,Cosine-tool-buggy,Cosine-tool-developer,s3variable-tool-buggy,s3variable-tool-developer,capgen-tool,capgen-developer,variable-tool-buggy,variable-tool-developer,syntax-tool-buggy,syntax-tool-developer,semantic-tool-buggy,semantic-tool-developer,tool,project,id,mutant-id,line_in_buggy,line_in_patched,structural_score,conceptual_score,sum,correct
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Chart.11.1,2.0,0.0,1,0,0.0,0.0,1,0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.,SketchFix,Chart,11,1,[275],[275],[1.0],[1.0],2.0,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Chart.1.1,1.0,0.0,1,0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.,SketchFix,Chart,1,1,[1797],[1797],[1.0],[1.0],2.0,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Chart.8.1,3.0788676270563236,4.0,2,0,0.07886762705632344,0.0,1,4,0.75,0.6363636363636364,0.75,0.6363636363636364,1.0,1.0,1.0,1.,SketchFix,Chart,8,1,[175],[175],[0.5],[0.545],1.045,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Chart.24.1,2.0,0.0,1,0,0.0,0.0,1,0,0.5,1.0,0.6,1.0,1.0,1.0,0.8333333333333334,1.,SketchFix,Chart,24,1,[126],[126],[1.0],[0.933],1.933,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Math.59.1,2.0,0.0,1,0,0.0,0.0,1,0,0.7777777777777778,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.,SketchFix,Math,59,1,[3482],[3482],[1.0],[1.0],2.0,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Math.50.1,47.63108561927143,0.0,31,0,0.6310856192714269,0.0,16,0,0.0,1.0,0.0,1.0,0.18980169971671387,1.0,0.0,1.,SketchFix,Math,50,1,[187],[187],[0.0],[0.0],0.0,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Math.33.1,4.0,7.0,2,1,0.0,0.0,2,6,0.5,0.6666666666666666,0.5,0.6666666666666666,1.0,1.0,1.0,1.,SketchFix,Math,33,1,[338],[338],[1.0],[0.865],1.865,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Math.70.1,2.005063323673818,0.0,1,0,0.005063323673817899,0.0,1,0,0.4588235294117647,1.0,0.75,1.0,0.7647058823529411,1.0,0.8,1.,SketchFix,Math,70,1,[72],[72],[0.826],[1.0],1.826,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Math.82.1,1.0,0.0,1,0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.,SketchFix,Math,82,1,[82],[82],[1.0],[0.96],1.96,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Math.5.1,2.0,0.0,1,0,0.0,0.0,1,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.,SketchFix,Math,5,1,[305],[305],[1.0],[0.75],1.75,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Lang.59.1,2.0,0.0,1,0,0.0,0.0,1,0,0.5494505494505495,1.0,0.7142857142857143,1.0,1.0,1.0,0.7692307692307693,1.,SketchFix,Lang,59,1,[884],[884],[1.0],[0.919],1.919,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Lang.6.1,2.0,0.0,1,0,0.0,0.0,1,0,0.6818181818181818,1.0,0.75,1.0,1.0,1.0,0.9090909090909091,1.,SketchFix,Lang,6,1,[95],[95],[1.0],[0.889],1.889,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.DynaMoth.Math.50,5.033342754897996,35.638412308235544,4,34,0.03334275489799543,0.6384123082355451,1,1,0.678049207600035,0.0,0.9166666666666666,0.9705882352941176,0.7901234567901234,0.18206521739130435,0.9361702127659575,0.,DynaMoth,Math,50,0,[188],[188],[0.094],[0.048],0.142,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Chart.11.1,2.0,12.0,1,2,0.0,0.0,1,10,0.6021505376344085,0.6,0.6666666666666666,0.6,1.0,1.0,0.9032258064516129,1.,CapGen,Chart,11,1,[274],[274],[1.0],[1.0],2.0,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Chart.11.2,2.0,0.0,1,0,0.0,0.0,1,0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.,CapGen,Chart,11,2,[275],[275],[1.0],[1.0],2.0,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Chart.1.1,1.0,0.0,1,0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.,CapGen,Chart,1,1,[1797],[1797],[1.0],[1.0],2.0,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Chart.8.1,3.0788676270563236,4.0,2,0,0.07886762705632344,0.0,1,4,0.75,0.6363636363636364,0.75,0.6363636363636364,1.0,1.0,1.0,1.,CapGen,Chart,8,1,[175],[175],[0.5],[0.545],1.045,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Chart.24.1,2.0,0.0,1,0,0.0,0.0,1,0,0.5,1.0,0.6,1.0,1.0,1.0,0.8333333333333334,1.,CapGen,Chart,24,1,[126],[126],[1.0],[0.933],1.933,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Math.59.1,2.0,0.0,1,0,0.0,0.0,1,0,0.7777777777777778,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.,CapGen,Math,59,1,[3482],[3482],[1.0],[1.0],2.0,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Math.57.1,1.0,0.0,1,0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.,CapGen,Math,57,1,[175],[175],[1.0],[0.946],1.946,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Math.58.1,3.2343585065112235,2.0,3,0,0.23435850651122359,0.0,0,2,0.432,0.6666666666666666,1.0,0.6666666666666666,0.72,1.0,0.6,1.,CapGen,Math,58,1,[121],[121],[0.667],[0.727],1.394,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Math.33.1,4.0,7.0,2,1,0.0,0.0,2,6,0.5,0.6666666666666666,0.5,0.6666666666666666,1.0,1.0,1.0,1.,CapGen,Math,33,1,[338],[338],[1.0],[0.865],1.865,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Math.80.1,7.0476467335142665,0.0,7,0,0.047646733514266626,0.0,0,0,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,1.,CapGen,Math,80,1,[1135],[1135],[0.825],[0.9],1.725,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Math.75.1,2.0,0.0,1,0,0.0,0.0,1,0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.,CapGen,Math,75,1,[303],[303],[1.0],[0.923],1.923,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Math.65.1,18.070679622715417,72.08308233687134,14,63,0.07067962271541484,0.08308233687134559,4,9,0.7659574468085107,0.0573287215227045,1.0,0.8421052631578947,0.9574468085106383,0.2792452830188679,0.8,0.2437923250564334,CapGen,Math,65,1,[258],[258],[0.514],[0.889],1.403,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Math.53.1,14.072457908206172,10.15653467361971,9,8,0.07245790820617204,0.15653467361971085,5,2,0.15753842077371488,0.24908424908424906,0.6875,0.8888888888888888,0.5411764705882353,0.9230769230769231,0.42342342342342343,0.3035714285714285,CapGen,Math,53,1,[153],[153],[0.422],[0.7],1.122,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Math.53.2,10.04313725490196,19.030677778914104,9,9,0.04313725490196074,0.030677778914104947,1,10,0.10123195461665468,0.1837700102738641,0.9230769230769231,0.7560975609756098,0.4260869565217391,0.6529411764705882,0.25738396624472576,0.372239747634069,CapGen,Math,53,2,[152],[152],[0.422],[0.7],1.122,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Math.30.1,1.0,0.0,1,0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.,CapGen,Math,30,1,[173],[173],[1.0],[0.889],1.889,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Math.63.1,24.2383938946876,5.064585653306515,18,1,0.23839389468759986,0.06458565330651467,6,4,0.01352657004830918,0.505952380952381,0.2,0.75,0.30434782608695654,0.8095238095238095,0.2222222222222222,0.833333333333333,CapGen,Math,63,1,[417],[417],[0.25],[0.333],0.583,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Math.70.1,2.005063323673818,4.0,1,0,0.005063323673817899,0.0,1,4,0.4588235294117647,0.6363636363636364,0.75,0.6363636363636364,0.7647058823529411,1.0,0.8,1.,CapGen,Math,70,1,[72],[72],[0.75],[0.926],1.676,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Math.85.1,6.060663563372276,8.060663563372277,6,5,0.06066356337227574,0.06066356337227574,0,3,0.9,0.6,1.0,0.6666666666666666,1.0,1.0,0.9,0.,CapGen,Math,85,1,[198],[198],[0.556],[0.833],1.389,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Math.5.1,2.0,3.5,2,2,0.0,0.5,0,1,0.37037037037037035,0.18518518518518517,1.0,0.5,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.666666666666666,CapGen,Math,5,1,[305],[305],[0.478],[0.429],0.907,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Lang.59.1,2.0,0.0,1,0,0.0,0.0,1,0,0.7142857142857143,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,1.,CapGen,Lang,59,1,[884],[884],[1.0],[0.919],1.919,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Lang.57.1,5.076130229125688,4.062563133438908,4,1,0.07613022912568812,0.06256313343890785,1,3,0.22608695652173913,0.39420289855072466,0.5,0.6666666666666666,0.5652173913043478,0.7391304347826086,0.8,0.,CapGen,Lang,57,1,[223],[223],[0.36],[0.619],0.979,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Lang.57.3,3.109129193625252,6.108515011679581,2,3,0.10912919362525209,0.10851501167958144,1,3,0.3851851851851852,0.375,0.6666666666666666,0.625,0.7222222222222222,0.75,0.8,0.,CapGen,Lang,57,3,[223],[223],[0.455],[0.619],1.074,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Lang.57.2,8.2174919549425,10.20600076661958,7,7,0.21749195494250018,0.20600076661957933,1,3,0.0962962962962963,0.1679012345679012,0.5,0.6666666666666666,0.43333333333333335,0.5666666666666667,0.4444444444444444,0.444444444444444,CapGen,Lang,57,2,[223],[223],[0.312],[0.56],0.872,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Lang.6.1,2.0,0.0,1,0,0.0,0.0,1,0,0.6818181818181818,1.0,0.75,1.0,1.0,1.0,0.9090909090909091,1.,CapGen,Lang,6,1,[95],[95],[1.0],[0.889],1.889,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Lang.26.1,2.0040126272477536,5.0,1,0,0.004012627247753531,0.0,1,5,0.6000000000000001,0.6428571428571429,0.8,0.6428571428571429,1.0,1.0,0.75,1.,CapGen,Lang,26,1,[820],[820],[0.8],[0.963],1.763,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Lang.43.1,9.023391993677844,16.044948355622996,4,1,0.023391993677844947,0.044948355622995484,5,15,0.700952380952381,0.20402055779666348,0.7619047619047619,0.6938775510204082,1.0,0.3496932515337423,0.92,0.840821566110397,CapGen,Lang,43,1,[421],[421],[0.943],[0.879],1.822,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Lang.43.3,9.011103651727023,0.0,4,0,0.011103651727021768,0.0,5,0,0.02324730360284556,1.0,0.8235294117647058,1.0,0.036,1.0,0.7841352405721717,1.,CapGen,Lang,43,3,[422],[422],[0.939],[0.781],1.72,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.CapGen.Lang.43.2,12.02387022242949,22.03143174271796,4,1,0.023870222429491217,0.031431742717958455,8,21,0.323002361528553,0.2451580967826647,0.7,0.6379310344827587,0.5073529411764706,0.4570552147239264,0.9094890510948905,0.840821566110397,CapGen,Lang,43,2,[420],[420],[0.769],[0.767],1.536,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Closure.73,1.0,0.0,1,0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.,TBar,Closure,73,0,[1045],[1045],[1.0],[0.6],1.6,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Closure.62,1.0,0.0,1,0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.,TBar,Closure,62,0,[98],[98],[1.0],[1.0],2.0,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Closure.63,1.0,0.0,1,0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.,TBar,Closure,63,0,[98],[98],[1.0],[1.0],2.0,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Chart.20,4.0,0.0,2,0,0.0,0.0,2,0,0.42857142857142855,1.0,0.42857142857142855,1.0,1.0,1.0,1.0,1.,TBar,Chart,20,0,[95],[95],[1.0],[0.933],1.933,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Chart.9,12.139986836432469,0.0,10,0,0.13998683643246834,0.0,2,0,0.06400742115027828,1.0,0.5,1.0,0.41818181818181815,1.0,0.30612244897959184,1.,TBar,Chart,9,0,[944],[944],[0.52],[0.72],1.24,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Chart.11,2.0,12.0,1,2,0.0,0.0,1,10,0.6021505376344085,0.6,0.6666666666666666,0.6,1.0,1.0,0.9032258064516129,1.,TBar,Chart,11,0,[274],[274],[1.0],[1.0],2.0,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Chart.1,1.0,0.0,1,0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.,TBar,Chart,1,0,[1797],[1797],[1.0],[1.0],2.0,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Chart.19,30.072618578288843,0.0,20,0,0.07261857828884288,0.0,10,0,0.2029596458464399,1.0,0.5652173913043478,1.0,0.6069651741293532,1.0,0.5916030534351145,1.,TBar,Chart,19,0,"[698, 973]","[698, 976]","[0.579, 0.632]","[0.552, 0.586]",1.174,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Chart.24,2.0,0.0,1,0,0.0,0.0,1,0,0.5,1.0,0.6,1.0,1.0,1.0,0.8333333333333334,1.,TBar,Chart,24,0,[126],[126],[1.0],[0.933],1.933,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Chart.4,13.066834558920895,0.0,8,0,0.06683455892089563,0.0,5,0,0.4534412955465587,1.0,0.6153846153846154,1.0,0.8076923076923077,1.0,0.9122807017543859,1.,TBar,Chart,4,0,"[4493, 4503]","[4493, 4504]","[0.619, 0.6]","[0.647, 0.583]",1.224,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Math.57,1.0,0.0,1,0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.,TBar,Math,57,0,[175],[175],[1.0],[0.946],1.946,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Math.11,2.0,10.0,1,5,0.0,0.0,1,5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.,TBar,Math,11,0,[183],[183],[0.824],[0.903],1.727,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Math.89,19.059258501998997,0.0,15,0,0.05925850199899718,0.0,4,0,0.011197014129565449,1.0,0.6363636363636364,1.0,0.0967741935483871,1.0,0.18181818181818182,1.,TBar,Math,89,0,[110],[110],[0.522],[0.44],0.962,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Math.75,1.0,0.0,1,0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.,TBar,Math,75,0,[303],[303],[1.0],[0.923],1.923,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Math.65,4.008130216199629,41.20098582908675,4,37,0.00813021619962917,0.20098582908674456,0,4,1.0,0.012411946567692555,1.0,0.9148936170212766,1.0,0.13302752293577982,1.0,0.1019830028328611,TBar,Math,65,0,[258],[258],[1.0],[1.0],2.0,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Math.79,2.0,7.0,2,0,0.0,0.0,0,7,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.,TBar,Math,79,0,[1624],[1624],[1.0],[0.704],1.704,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Math.70,2.005063323673818,0.0,1,0,0.005063323673817899,0.0,1,0,0.4588235294117647,1.0,0.75,1.0,0.7647058823529411,1.0,0.8,1.,TBar,Math,70,0,[72],[72],[0.826],[1.0],1.826,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Math.5,2.0,0.0,1,0,0.0,0.0,1,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.,TBar,Math,5,0,[305],[305],[1.0],[0.75],1.75,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Lang.59,2.0,0.0,1,0,0.0,0.0,1,0,0.5494505494505495,1.0,0.7142857142857143,1.0,1.0,1.0,0.7692307692307693,1.,TBar,Lang,59,0,[884],[884],[1.0],[0.919],1.919,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Lang.57,4.014472543347425,0.0,3,0,0.014472543347425648,0.0,1,0,0.38235294117647056,1.0,0.5,1.0,0.7647058823529411,1.0,1.0,1.,TBar,Lang,57,0,[223],[223],[0.6],[0.867],1.467,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Lang.33,17.14202788364068,20.08525385006377,12,11,0.14202788364067986,0.08525385006376918,5,9,0.02821869488536155,0.131613478899853,0.5,0.625,0.2345679012345679,0.38636363636363635,0.24060150375939848,0.545034642032332,TBar,Lang,33,0,[910],[910],[0.735],[0.769],1.504,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Lang.7,15.14166749224001,63.029778646337284,12,35,0.1416674922400113,0.029778646337283,3,28,0.08866928256551858,0.1024183307949967,0.5,0.5882352941176471,0.4231943031536114,0.30426356589147285,0.41904761904761906,0.572237960339943,TBar,Lang,7,0,[449],[449],[0.464],[0.759],1.223,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Lang.10,30.0,28.026305891484963,20,9,1.0,0.026305891484962207,9,19,0.0,0.010378627714779935,0.0,0.6545454545454545,0.0,0.75,0.0,0.02114164904862579,TBar,Lang,10,0,[307],[307],[0.697],[0.615],1.312,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.TBar.Lang.47,14.193440867382558,28.13218669334438,10,17,0.19344086738255684,0.13218669334437982,4,11,0.049354154617312504,0.5972485651214129,0.42857142857142855,0.8533333333333334,0.41025641025641024,0.7615894039735099,0.2807017543859649,0.91,TBar,Lang,47,0,[1186],[1186],[0.592],[0.707],1.299,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Chart.11.1,2.0,12.0,1,2,0.0,0.0,1,10,0.6021505376344085,0.6,0.6666666666666666,0.6,1.0,1.0,0.9032258064516129,1.,SOFix,Chart,11,1,[274],[274],[1.0],[1.0],2.0,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Chart.1.1,1.0,0.0,1,0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.,SOFix,Chart,1,1,[1797],[1797],[1.0],[1.0],2.0,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Chart.26.1,7.0,0.0,7,0,0.0,0.0,0,0,0.4588045321495307,1.0,1.0,1.0,0.8964334705075446,1.0,0.5118110236220472,1.,SOFix,Chart,26,1,[1192],[1192],[0.677],[0.692],1.369,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Chart.24.1,4.0037245635888015,7.0037245635888015,3,3,0.003724563588801355,0.003724563588801355,1,4,0.5,0.6666666666666666,0.6,0.6666666666666666,1.0,1.0,0.8333333333333334,1.,SOFix,Chart,24,1,[126],[126],[0.733],[0.966],1.699,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Chart.4.1,10.128812878059644,4.053911612719693,8,0,0.12881287805964425,0.05391161271969347,2,4,0.20689655172413793,0.4170705244122966,0.6666666666666666,0.8857142857142857,1.0,0.4708860759493671,0.3103448275862069,1.,SOFix,Chart,4,1,"[4492, 4503]","[4492, 4503]","[0.8, 0.6]","[0.833, 0.583]",1.408,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Math.59.1,2.0,0.0,1,0,0.0,0.0,1,0,0.7777777777777778,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.,SOFix,Math,59,1,[3482],[3482],[1.0],[1.0],2.0,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Math.50.1,48.0,1.0175333890094636,31,0,1.0,0.01753338900946355,16,1,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.,SOFix,Math,50,1,[187],[187],[0.0],[0.0],0.0,TRUE
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SOFix.Math.57.1,1.0,0.0,1,0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.,SOFix,Math,57,1,[175],[175],[1.0],[0.946],1.946,TRUE
